Date,Adj Close,Close,High,Low,Open,Volume
2019-03-27,170.9661255,177.0299988,179.8300018,176.9129944,177.6999969,8371000
2019-03-28,171.6421509,177.7299957,178.5299988,175.9700012,177.4700012,7146800
2019-03-29,176.20047,182.4499969,182.6000061,179.0,180.7299957,13850900
2019-04-01,174.6939087,180.8899994,185.5599976,180.8899994,185.0899963,12714800
2019-04-02,175.514801,181.7400055,183.5630035,180.9499969,181.4600067,8021500
2019-04-03,172.2119446,178.3200073,180.6999969,176.7599945,179.5099945,26811600
2019-04-04,174.8677521,181.0700073,181.9600067,176.8899994,177.0399933,16993200
2019-04-05,179.0011444,185.3500061,185.5,182.0,182.5099945,18705000
2019-04-08,180.1117401,186.5,187.8200073,184.0099945,184.1900024,14725600
2019-04-09,180.7781067,187.1900024,187.8899994,186.1600037,186.4900055,11578200
2019-04-10,179.8123627,186.1900024,187.3999939,184.0,186.6900024,10655000
2019-04-11,178.6437988,184.9799957,186.0599976,183.75,185.1499939,8900300
2019-04-12,182.4391937,188.9100037,189.7899933,187.1399994,187.7100067,12600000
2019-04-15,176.7992554,183.0700073,188.1699982,182.5599976,188.0599976,14616600
2019-04-16,179.4164124,185.7799988,185.7899933,183.3999939,185.5500031,12195900
2019-04-17,181.1257782,187.5500031,188.1999969,185.7799988,187.3399963,11614200
2019-04-18,180.5366669,186.9400024,187.2799988,185.3899994,186.4100037,7882500
2019-04-22,179.0301056,185.3800049,186.4700012,183.6100006,184.5,8677800
2019-04-23,180.8746796,187.2899933,188.1499939,185.4400024,186.0,11410600
2019-04-24,179.3101654,185.6699982,186.8999939,184.5800018,186.7599945,9085300
2019-04-25,181.4444733,187.8800049,188.1300049,183.9550018,185.2400055,10328900
2019-04-26,180.6815338,187.0899963,188.7400055,185.5099945,187.8800049,9421100
2019-04-29,180.5366669,186.9400024,188.0,185.7599945,187.4199982,8660600
2019-04-30,179.2136078,185.5700073,188.25,183.8200073,186.3000031,15076500
2019-05-01,182.8254852,189.3099976,193.1950073,185.8800049,186.75,17397500
2019-05-02,183.8684998,190.3899994,192.6999969,186.6499939,189.4199982,11468100
2019-05-03,188.523407,195.2100067,195.7200012,191.8800049,191.8800049,14521100
2019-05-06,181.7921448,188.2400055,189.0,184.8300018,185.1699982,23941200
2019-05-07,175.2153931,181.4299927,186.4499969,179.6300049,186.0500031,22663200
2019-05-08,173.4384308,179.5899963,183.1999969,178.5800018,180.9499969,16611100
2019-05-09,172.9072723,179.0399933,180.6950073,173.0700073,175.4299927,22727800
2019-05-10,171.9029083,178.0,180.7899933,174.1000061,180.1799927,18987000
2019-05-13,164.1865845,170.0099945,172.4700012,168.7799988,169.7899933,22330700
2019-05-14,168.8511353,174.8399963,175.1499939,171.4799957,172.75,17874100
2019-05-15,171.5166168,177.6000061,180.2400055,173.3209991,177.0599976,37610400
2019-05-16,169.5561371,175.5700073,178.25,174.75,178.1799927,20579200
2019-05-17,163.7616577,169.5700073,172.2899933,168.4900055,171.6900024,22539400
2019-05-20,155.1471863,160.6499939,164.5700073,160.0200043,164.4400024,33413800
2019-05-21,157.831955,163.4299927,165.5899963,162.5200043,163.1600037,22006100
2019-05-22,153.3895416,158.8300018,162.8200073,158.0700073,162.4100037,25831200
2019-05-23,150.6564636,156.0,158.4799957,154.4100037,155.4499969,26891900
2019-05-24,149.6907349,155.0,158.4299927,154.8999939,157.6150055,21489700
2019-05-28,149.5072327,154.8099976,157.0700073,153.2200012,156.3999939,38603000
2019-05-29,147.2570343,152.4799957,154.3849945,150.7100067,153.5800018,30073100
2019-05-30,145.8953552,151.0700073,153.3699951,150.25,152.3600006,17344700
2019-05-31,144.1473236,149.2599945,150.6799927,147.9499969,149.6300049,26881200
2019-06-03,144.7750702,149.9100037,151.7700043,148.8450012,149.6000061,25254400
2019-06-04,148.8698273,154.1499939,155.1999969,150.6399994,151.5599976,27417200
2019-06-05,146.4554749,151.6499939,156.1100006,149.3099976,155.1699982,23208600
2019-06-06,146.3106079,151.5,152.6999969,150.5700073,152.0,15763000
2019-06-07,148.9470978,154.2299957,155.6900024,152.2140045,152.9499969,17817800
2019-06-10,154.3746033,159.8500061,161.9799957,157.3999939,158.7799988,36473300
2019-06-11,157.0786896,162.6499939,165.6799927,161.9250031,164.1999969,23408400
2019-06-12,154.558075,160.0399933,161.6999969,158.8099976,160.4700012,16329300
2019-06-13,154.83815,160.3300018,161.3200073,159.8000031,160.5500031,17571400
2019-06-14,152.6845551,158.1000061,158.7100067,157.2299957,158.3699951,14981600
2019-06-17,154.4325409,159.9100037,160.5500031,157.4199982,157.5299988,16079800
2019-06-18,159.8407135,165.5099945,169.1100006,161.9499969,162.8899994,35754800
2019-06-19,159.79245,165.4600067,167.8999939,163.4199982,167.7700043,20798100
2019-06-20,162.4868622,168.25,170.4799957,166.2749939,170.1900024,24004700
2019-06-21,161.8108521,167.5500031,169.470993,166.7700043,167.4799957,17415800
2019-06-24,162.3420105,168.1000061,168.8800049,165.7799988,168.3999939,18422600
2019-06-25,160.1207886,165.8000031,167.3399963,164.6199951,167.0399933,20439200
